sigle;country;world_region
syc;Seychelles;africa
syr;Syria;asia
tca;Turks and Caicos Islands;americas
tcd;Chad;africa
tgo;Togo;africa
tha;Thailand;asia
tjk;Tajikistan;asia
tkl;Tokelau;asia
tkm;Turkmenistan;asia
tls;Timor-Leste;asia
ton;Tonga;Oceania
transn;Transnistria;europe
tto;Trinidad and Tobago;americas
tun;Tunisia;africa
tur;Turkey;europe
tuv;Tuvalu;Oceania
twn;Taiwan;asia
tza;Tanzania;africa
uga;Uganda;africa
ukr;Ukraine;europe
ury;Uruguay;americas
usa;USA;americas
usa_minor_out_isl;US Minor Outlying Islands;americas
ussr;USSR;europe
uzb;Uzbekistan;asia
vct;St. Vincent and the Grenadines;americas
ven;Venezuela;americas
vgb;British Virgin Islands;americas
vir;Virgin Islands (U.S.);americas
vnm;Vietnam;asia
vut;Vanuatu;Oceania
wlf;Wallis et Futuna;asia
wsm;Samoa;Oceania
yem;Yemen;asia
yem_north;North Yemen (former);asia
yem_south;South Yemen (former);asia
yug;Yugoslavia;europe
zaf;South Africa;africa
zmb;Zambia;africa
zwe;Zimbabwe;africa
caf;Central African Rep.;africa
mkd;Macedonia;europe
yem;Yemen, Rep.;asia
swz;Swaziland;africa
kgz;Kyrgyzstan;asia
fry;Macedonia, FYR;europe
cod;Congo Dem. Rep;africa
dom;Dominican Rep.;americas
gbr;United Kingdom;europe
cze;Czech Rep.;europe
are;United Arab Emirates;asia
lao;Laos;asia
usa;United States;americas
